date,regular,mid_grade,premium,diesel,e85,regular_yesterday,regular_week_ago,regular_month_ago,regular_year_ago,retrieved_at_utc,source_url
2026-07-24,4.1050,,,,,,,,,,backfill:regular_week_ago
2026-07-25,4.1110,,,,,,,,,,backfill:regular_week_ago
2026-07-26,4.1100,,,,,,,,,,backfill:regular_week_ago
2026-07-27,4.1100,,,,,,,,,,backfill:regular_week_ago
2026-07-28,4.0990,,,,,,,,,,backfill:regular_week_ago
2026-07-29,4.0907,,,,,,,,,,backfill:regular_week_ago
2026-07-30,4.0980,4.6010,4.9810,5.3390,3.1350,,,,,2026-07-30T12:45:38+00:00,https://gasprices.aaa.com/
2026-07-31,4.1060,4.6040,4.9870,5.3530,3.1530,4.0980,4.1050,3.8470,3.1470,2026-07-31T15:31:24+00:00,https://gasprices.aaa.com/
2026-08-01,4.1010,4.5990,4.9840,5.3620,3.1530,4.1060,4.1110,3.8470,3.1520,2026-08-01T14:41:27+00:00,https://gasprices.aaa.com/
2026-08-02,4.0960,4.5920,4.9760,5.3640,3.1430,4.1010,4.1100,3.8380,3.1520,2026-08-02T14:44:04+00:00,https://gasprices.aaa.com/
2026-08-03,4.0950,4.5810,4.9670,5.3640,3.1420,4.0960,4.1100,3.8230,3.1500,2026-08-03T15:56:43+00:00,https://gasprices.aaa.com/
2026-08-04,4.0890,4.5890,4.9730,5.3720,3.1330,4.0950,4.0990,3.8100,3.1530,2026-08-04T15:38:53+00:00,https://gasprices.aaa.com/
2026-08-05,4.0801,4.5885,4.9706,5.3622,3.1190,4.0892,4.0907,3.8039,3.1638,2026-08-05T15:31:04+00:00,https://gasprices.aaa.com/
2026-08-06,4.0633,4.5752,4.9565,5.3474,3.1028,4.0801,4.0981,3.7968,3.1702,2026-08-06T15:33:14+00:00,https://gasprices.aaa.com/
2026-08-07,4.0422,4.5555,4.9358,5.3313,3.0902,4.0633,4.1061,3.7901,3.1665,2026-08-07T14:27:15+00:00,https://gasprices.aaa.com/
2026-08-08,4.0224,4.5356,4.9179,5.3176,3.0757,4.0422,4.1013,3.7965,3.1564,2026-08-08T13:59:36+00:00,https://gasprices.aaa.com/
2026-08-09,4.0121,4.5169,4.9012,5.3082,3.0682,4.0224,4.0963,3.8460,3.1456,2026-08-09T14:01:50+00:00,https://gasprices.aaa.com/
2026-08-10,4.0091,4.4997,4.8900,5.2996,3.0645,4.0121,4.0946,3.8835,3.1394,2026-08-10T14:32:57+00:00,https://gasprices.aaa.com/
2026-08-11,4.0116,4.5217,4.9058,5.3213,3.0731,4.0091,4.0892,3.8824,3.1387,2026-08-11T10:51:07+00:00,https://gasprices.aaa.com/
2026-08-12,4.0360,4.5484,4.9333,5.3575,3.1100,4.0116,4.0801,3.8761,3.1409,2026-08-12T14:33:20+00:00,https://gasprices.aaa.com/
2026-08-13,4.0715,4.5842,4.9664,5.4043,3.1263,4.0360,4.0633,3.8722,3.1558,2026-08-13T14:34:10+00:00,https://gasprices.aaa.com/
2026-08-14,4.0776,4.5896,4.9704,5.4265,3.1321,4.0715,4.0422,3.8587,3.1601,2026-08-14T14:27:07+00:00,https://gasprices.aaa.com/
2026-08-15,4.0704,4.5833,4.9647,5.4396,3.1420,4.0776,4.0224,3.8898,3.1538,2026-08-15T13:45:43+00:00,https://gasprices.aaa.com/
2026-08-16,4.0656,4.5744,4.9563,5.4460,3.1456,4.0704,4.0121,3.9434,3.1428,2026-08-16T13:46:24+00:00,https://gasprices.aaa.com/
2026-08-17,4.0636,4.5606,4.9479,5.4454,3.1551,4.0656,4.0091,3.9814,3.1381,2026-08-17T13:54:53+00:00,https://gasprices.aaa.com/
2026-08-18,4.0654,4.5740,4.9579,5.4677,3.1547,4.0636,4.0116,3.9923,3.1376,2026-08-18T13:58:47+00:00,https://gasprices.aaa.com/
2026-08-19,4.0860,4.5958,4.9788,5.5042,3.1982,4.0654,4.0360,3.9975,3.1304,2026-08-19T13:59:29+00:00,https://gasprices.aaa.com/
2026-08-20,4.1044,4.6129,4.9954,5.5477,3.2073,4.0860,4.0715,4.0032,3.1337,2026-08-20T14:01:41+00:00,https://gasprices.aaa.com/
2026-08-21,4.1092,4.6156,4.9976,5.5764,3.2066,4.1044,4.0776,4.0190,3.1372,2026-08-21T14:00:19+00:00,https://gasprices.aaa.com/
2026-08-22,4.1024,4.6089,4.9922,5.5947,3.1941,4.1092,4.0704,4.0604,3.1420,2026-08-22T13:46:00+00:00,https://gasprices.aaa.com/
2026-08-23,4.0986,4.6016,4.9859,5.6074,3.1860,4.1024,4.0656,4.0911,3.1497,2026-08-23T13:47:31+00:00,https://gasprices.aaa.com/
2026-08-24,4.0991,4.5871,4.9753,5.6134,3.1829,4.0986,4.0636,4.1054,3.1533,2026-08-24T14:04:27+00:00,https://gasprices.aaa.com/
2026-08-25,4.0969,4.5981,4.9826,5.6199,3.1736,4.0991,4.0654,4.1109,3.1613,2026-08-25T14:06:22+00:00,https://gasprices.aaa.com/
2026-08-26,4.1014,4.6123,4.9939,5.6230,3.1712,4.0969,4.0860,4.1101,3.1864,2026-08-26T14:05:55+00:00,https://gasprices.aaa.com/
2026-08-27,4.0997,4.6122,4.9939,5.6183,3.1600,4.1014,4.1044,4.1097,3.2081,2026-08-27T22:58:40+00:00,https://gasprices.aaa.com/
2026-08-28,4.0898,4.6021,4.9840,5.6105,3.1437,4.0997,4.1092,4.0995,3.2103,2026-08-28T23:03:47+00:00,https://gasprices.aaa.com/
2026-08-29,4.0810,4.5893,4.9728,5.6046,3.1323,4.0898,4.1024,4.0907,3.2013,2026-08-29T17:13:02+00:00,https://gasprices.aaa.com/
2026-08-30,4.0787,4.5787,4.9638,5.6035,3.1245,4.0810,4.0986,4.0981,3.1920,2026-08-30T17:32:15+00:00,https://gasprices.aaa.com/
2026-08-31,4.0807,4.5699,4.9582,5.6002,3.1207,4.0787,4.0991,4.1061,3.1885,2026-08-31T19:31:21+00:00,https://gasprices.aaa.com/
2026-09-01,4.0954,4.6047,4.9867,5.6325,3.1268,4.0807,4.0969,4.1013,3.1909,2026-09-01T17:20:25+00:00,https://gasprices.aaa.com/
2026-09-02,4.1203,4.6289,5.0095,5.6879,3.1267,4.0954,4.1014,4.0963,3.1869,2026-09-02T17:11:12+00:00,https://gasprices.aaa.com/
2026-09-03,4.1436,4.6543,5.0335,5.7832,3.1370,4.1203,4.0997,4.0946,3.1903,2026-09-03T17:03:48+00:00,https://gasprices.aaa.com/
2026-09-04,4.1474,4.6576,5.0396,5.8500,3.1404,4.1436,4.0898,4.0892,3.2016,2026-09-04T16:53:08+00:00,https://gasprices.aaa.com/
2026-09-05,4.1459,4.6547,5.0376,5.8819,3.1334,4.1474,4.0810,4.0801,3.2046,2026-09-05T16:06:14+00:00,https://gasprices.aaa.com/
